variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status
102-263,Tomato,,"Indeterminate loose tomato, vigorous plant,high yield.","Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.","HR: ToMV, Vd, Va, F 0-1, For  / IR: Ma, Mi, Mj, TYLCV, TSWV.",Winter and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant,high yield.
Fruit: Red color, round and firm flesh fruit, 280 - 320 g, long shelf life.
Cultivation: Winter and spring seasons in greenhouse.",Mexico,CENTURION F1,In Progress
,,,,,,,,Romania,NEMESIS F1,In Progress
,,,,,,,,Panama,CENTURION F1,In Progress
,,,,,,,,Austria,NEMESIS F1,Registered
,,,,,,,,Belgium,NEMESIS F1,Registered
,,,,,,,,Bulgaria,NEMESIS F1,Registered
,,,,,,,,Croatia,NEMESIS F1,Registered
,,,,,,,,Cyprus,NEMESIS F1,Registered
,,,,,,,,Czech Republic,NEMESIS F1,Registered
,,,,,,,,Denmark,NEMESIS F1,Registered
,,,,,,,,Estonia,NEMESIS F1,Registered
,,,,,,,,Finland,NEMESIS F1,Registered
,,,,,,,,France,NEMESIS F1,Registered
,,,,,,,,Germany,NEMESIS F1,Registered
,,,,,,,,Greece,NEMESIS F1,Registered
,,,,,,,,Hungary,NEMESIS F1,Registered
,,,,,,,,Ireland,NEMESIS F1,Registered
102-409,Tomato,,"Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.","Red color, slightly flat, firm, 200-250 gr.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, Ma, Mi, Mj, ToBRFV, Ss",Spring season in greenhouse and open field.,"Plant: Indeterminate loose tomato, short internodes, vigorous plant, good leaf coverage.
Fruit: Red color, slightly flat, firm, 200-250 gr.
Cultivation: Spring season in greenhouse and open field.",Egypt,CEMAL F1,In Progress
,,,,,,,,Egypt,102-409 F1,In Progress
,,,,,,,,Morocco,CEMAL F1,In Progress
,,,,,,,,Morocco,BYSONTE F1,In Progress
,,,,,,,,Morocco,TRUANO F1,In Progress
,,,,,,,,Qatar,CEMAL F1,In Progress
,,,,,,,,Qatar,102-409 F1,In Progress
,,,,,,,,Cyprus,CEMAL F1,In Progress